RegionName2,Year,Epidemic_Week
Dire Dawa,2020,23
Dire Dawa,2020,24
Dire Dawa,2020,25
Dire Dawa,2020,26
Dire Dawa,2020,27
Dire Dawa,2020,28
Dire Dawa,2020,29
Dire Dawa,2020,30
Dire Dawa,2020,31
Dire Dawa,2020,32
Dire Dawa,2020,33
Dire Dawa,2020,34
Dire Dawa,2020,35
Dire Dawa,2020,36
Dire Dawa,2020,37
Dire Dawa,2020,38
Dire Dawa,2020,39
Dire Dawa,2020,40
Dire Dawa,2020,41
Dire Dawa,2020,42
Dire Dawa,2020,43
Dire Dawa,2020,44
Dire Dawa,2020,45
Dire Dawa,2020,46
Dire Dawa,2020,47
Dire Dawa,2020,48
Dire Dawa,2020,49
Dire Dawa,2020,50
Dire Dawa,2020,51
Dire Dawa,2020,52
Dire Dawa,2021,1
Dire Dawa,2021,2
Dire Dawa,2021,3
Dire Dawa,2021,4
Dire Dawa,2021,5
Dire Dawa,2021,6
Dire Dawa,2021,7
Dire Dawa,2021,8
Dire Dawa,2021,9
Dire Dawa,2021,10
Dire Dawa,2021,11
Dire Dawa,2021,12
Dire Dawa,2021,13
Dire Dawa,2021,14
Dire Dawa,2021,15
Dire Dawa,2021,16
Dire Dawa,2021,17
Dire Dawa,2021,18
Dire Dawa,2021,19
Dire Dawa,2021,20
Dire Dawa,2021,21
Dire Dawa,2021,22
Dire Dawa,2021,23
Dire Dawa,2021,24
Dire Dawa,2021,25
Dire Dawa,2021,26
Dire Dawa,2021,27
Dire Dawa,2021,28
Dire Dawa,2021,29
Dire Dawa,2021,30
Dire Dawa,2021,31
Dire Dawa,2021,32
Dire Dawa,2021,33
Dire Dawa,2021,34
Dire Dawa,2021,35
Dire Dawa,2021,36
Dire Dawa,2021,37
Dire Dawa,2021,38
Dire Dawa,2021,39
Dire Dawa,2021,40
Dire Dawa,2021,41
Dire Dawa,2021,42
Dire Dawa,2021,43
Dire Dawa,2021,44
Dire Dawa,2021,45
Dire Dawa,2021,46
Dire Dawa,2021,47
Dire Dawa,2021,48
Dire Dawa,2021,49
Dire Dawa,2021,50
Dire Dawa,2021,51
Dire Dawa,2021,52
Dire Dawa,2022,5
Dire Dawa,2022,6
Dire Dawa,2022,7
Dire Dawa,2022,8
Dire Dawa,2022,9
Dire Dawa,2022,10
Dire Dawa,2022,11
Dire Dawa,2022,12
Dire Dawa,2022,13
Dire Dawa,2022,14
Dire Dawa,2022,15
Dire Dawa,2022,16
Dire Dawa,2022,17
Dire Dawa,2022,18
Dire Dawa,2022,19
Dire Dawa,2022,20
Dire Dawa,2022,21
Dire Dawa,2022,22
Dire Dawa,2022,23
Dire Dawa,2022,24
Dire Dawa,2022,25
Dire Dawa,2022,26
Dire Dawa,2022,27
Dire Dawa,2022,34
Dire Dawa,2022,35
Dire Dawa,2022,36
Dire Dawa,2022,37
Dire Dawa,2022,38
